date,close,volume,open,high,low
2018/06/01,190.24,23377690,187.991,190.26,187.75
2018/05/31,186.87,27468700,187.22,188.23,186.14
2018/05/30,187.5,18503410,187.72,188,186.78
2018/05/29,187.9,22409110,187.6,188.75,186.87
2018/05/25,188.58,17186760,188.23,189.65,187.65
2018/05/24,188.15,23129400,188.77,188.84,186.21
2018/05/23,188.36,19966590,186.35,188.5,185.76
2018/05/22,187.16,15228270,188.375,188.88,186.78
2018/05/21,187.63,18383080,188,189.27,186.9106
2018/05/18,186.31,18083080,187.19,187.8102,186.13
2018/05/17,186.99,17014490,188,188.91,186.36
2018/05/16,188.18,19046600,186.07,188.46,186
2018/05/15,186.44,23639070,186.78,187.07,185.1
2018/05/14,188.15,20393070,189.01,189.53,187.86
2018/05/11,188.59,26167950,189.49,190.06,187.45
2018/05/10,190.04,27942430,187.74,190.37,187.65
2018/05/09,187.36,23141260,186.55,187.4,185.22
2018/05/08,186.05,28053230,184.99,186.22,183.665
2018/05/07,185.16,42557530,185.18,187.67,184.75
2018/05/04,183.83,56137230,178.25,184.25,178.17
2018/05/03,176.89,33944110,175.88,177.5,174.4411
2018/05/02,176.57,66454720,175.225,177.75,173.8
2018/05/01,169.1,52228910,166.41,169.2,165.27
2018/04/30,165.26,41976500,162.13,167.26,161.84
2018/04/27,162.32,35617230,164,164.33,160.63
2018/04/26,164.22,27850370,164.12,165.73,163.37
2018/04/25,163.65,28331540,162.62,165.42,162.41
2018/04/24,162.94,33674960,165.67,166.33,161.2201
2018/04/23,165.24,36396590,166.835,166.92,164.09
2018/04/20,165.72,65270950,170.595,171.2184,165.43
2018/04/19,172.8,34693280,174.95,175.39,172.66
2018/04/18,177.84,20544600,177.81,178.82,176.88
2018/04/17,178.24,26575010,176.49,178.9365,176.41
2018/04/16,175.82,21561320,175.0301,176.19,174.8301
2018/04/13,174.73,25100510,174.78,175.84,173.85
2018/04/12,174.14,22858840,173.41,175,173.04
2018/04/11,172.44,22401040,172.23,173.9232,171.7
2018/04/10,173.25,28567110,173,174,171.53
2018/04/09,170.05,28976200,169.88,173.09,169.845
2018/04/06,168.38,34949690,170.97,172.48,168.2
2018/04/05,172.8,26750260,172.58,174.2304,172.08
2018/04/04,171.61,34581850,164.88,172.01,164.77
2018/04/03,168.39,30237640,167.64,168.7455,164.88
2018/04/02,166.68,37425640,167.88,168.94,164.47
2018/03/29,167.78,38116290,167.805,171.75,166.9
2018/03/28,166.48,41464880,167.25,170.02,165.19
2018/03/27,168.34,39824200,173.68,175.15,166.92
2018/03/26,172.77,36778560,168.07,173.1,166.44
2018/03/23,164.94,40984540,168.39,169.92,164.94
2018/03/22,168.85,41335980,170,172.68,168.6
2018/03/21,171.27,36387880,175.04,175.09,171.26
2018/03/20,175.24,19620520,175.24,176.8,174.94
2018/03/19,175.3,32931110,177.32,177.47,173.66
2018/03/16,178.02,38313330,178.65,179.12,177.62
2018/03/15,178.65,22676520,178.5,180.24,178.0701
2018/03/14,178.44,29334630,180.32,180.52,177.81
2018/03/13,179.97,31464170,182.59,183.5,179.24
2018/03/12,181.72,32191070,180.29,182.39,180.21
2018/03/09,179.98,32130360,177.96,180,177.39
2018/03/08,176.94,24518850,175.48,177.12,175.07
2018/03/07,175.03,31686450,174.94,175.85,174.27
2018/03/06,176.67,23273160,177.91,178.25,176.13
2018/03/05,176.82,27825140,175.21,177.74,174.52
2018/03/02,176.21,38426060,172.8,176.3,172.45
2018/03/01,175,48706170,178.54,179.775,172.66
2018/02/28,178.12,37568080,179.26,180.615,178.05
2018/02/27,178.39,38885510,179.1,180.48,178.16
2018/02/26,178.97,37353670,176.35,179.39,176.21
2018/02/23,175.5,33772050,173.67,175.65,173.54
2018/02/22,172.5,30953760,171.8,173.95,171.71
2018/02/21,171.07,37378070,172.83,174.12,171.01
2018/02/20,171.85,33690660,172.05,174.26,171.42
2018/02/16,172.43,40113790,172.36,174.82,171.77
2018/02/15,172.99,50908540,169.79,173.09,169
2018/02/14,167.37,40382890,163.045,167.54,162.88
2018/02/13,164.34,32483310,161.95,164.75,161.65
2018/02/12,162.71,60774900,158.5,163.89,157.51
2018/02/09,156.41,70583530,157.07,157.89,150.24
2018/02/08,155.15,54145930,160.29,161,155.03
2018/02/07,159.54,51467440,163.085,163.4,159.0685
2018/02/06,163.03,68171940,154.83,163.72,154
2018/02/05,156.49,72215320,159.1,163.88,156
2018/02/02,160.5,85957050,166,166.8,160.1
2018/02/01,167.78,44453230,167.165,168.62,166.76
2018/01/31,167.43,32234520,166.87,168.4417,166.5
2018/01/30,166.97,45635470,165.525,167.37,164.7
2018/01/29,167.96,50565420,170.16,170.16,167.07
2018/01/26,171.51,39075250,172,172,170.06
2018/01/25,171.11,41438280,174.505,174.95,170.53
2018/01/24,174.22,51368540,177.25,177.3,173.2
2018/01/23,177.04,32395870,177.3,179.44,176.82
2018/01/22,177,27052000,177.3,177.78,176.6016
2018/01/19,178.46,31306390,178.61,179.58,177.41
2018/01/18,179.26,31087330,179.37,180.1,178.25
2018/01/17,179.1,34260230,176.15,179.25,175.07
2018/01/16,176.19,29512410,177.9,179.39,176.14
2018/01/12,177.09,25302200,176.18,177.36,175.65
2018/01/11,175.28,18653380,174.59,175.4886,174.49
2018/01/10,174.29,23751690,173.16,174.3,173
2018/01/09,174.33,21532200,174.55,175.06,173.41
2018/01/08,174.35,20523870,174.35,175.61,173.93
2018/01/05,175,23589930,173.44,175.37,173.05
2018/01/04,173.03,22342650,172.54,173.47,172.08
2018/01/03,172.23,29461040,172.53,174.55,171.96
2018/01/02,172.26,25400540,170.16,172.3,169.26
2017/12/29,169.23,25938760,170.52,170.59,169.22
2017/12/28,171.08,16412270,171,171.85,170.48
2017/12/27,170.6,21477380,170.1,170.78,169.71
2017/12/26,170.57,33113340,170.8,171.47,169.679
2017/12/22,175.01,16339690,174.68,175.424,174.5
2017/12/21,175.01,20848660,174.17,176.02,174.1
2017/12/20,174.35,23451420,174.87,175.42,173.25
2017/12/19,174.54,27393660,175.03,175.39,174.09
2017/12/18,176.42,29385650,174.88,177.2,174.86
2017/12/15,173.97,40122100,173.63,174.17,172.46
2017/12/14,172.22,20442740,172.4,173.13,171.65
2017/12/13,172.27,23402510,172.5,173.54,172
2017/12/12,171.7,19088170,172.15,172.39,171.461
2017/12/11,172.67,34260890,169.2,172.89,168.79
2017/12/08,169.37,23285760,170.49,171,168.82
2017/12/07,169.32,25656110,169.03,170.44,168.91
2017/12/06,169.01,28397810,167.5,170.2047,166.46
2017/12/05,169.64,27315530,169.06,171.52,168.4
2017/12/04,169.8,32512580,172.48,172.62,169.63
2017/12/01,171.05,39735110,169.95,171.67,168.5
2017/11/30,171.85,41484540,170.43,172.14,168.44
2017/11/29,169.48,41459120,172.63,172.92,167.16
2017/11/28,173.07,26387240,174.3,174.87,171.86
2017/11/27,174.09,20591090,175.05,175.08,173.34
2017/11/24,174.97,14026670,175.1,175.5,174.6459
2017/11/22,174.96,25558680,173.36,175,173.05
2017/11/21,173.14,25047130,170.78,173.7,170.78
2017/11/20,169.98,16041550,170.29,170.56,169.56
2017/11/17,170.15,21884010,171.04,171.39,169.64
2017/11/16,171.1,23598650,171.18,171.87,170.3
2017/11/15,169.08,28998220,169.97,170.3197,168.38
2017/11/14,171.34,24683350,173.04,173.48,171.18
2017/11/13,173.97,16956290,173.5,174.5,173.4
2017/11/10,174.67,25129510,175.11,175.38,174.27
2017/11/09,175.88,29422610,175.11,176.095,173.14
2017/11/08,176.24,24358920,174.66,176.24,174.33
2017/11/07,174.81,24332120,173.91,175.25,173.6
2017/11/06,174.25,34770480,172.365,174.99,171.72
2017/11/03,172.5,59332210,174,174.26,171.12
2017/11/02,168.11,39668100,167.64,168.5,165.28
2017/11/01,166.89,33482970,169.87,169.94,165.61
2017/10/31,169.04,35779520,167.9,169.6499,166.94
2017/10/30,166.72,44651420,163.89,168.07,163.72
2017/10/27,163.05,44387770,159.29,163.6,158.7
2017/10/26,157.41,16916650,157.23,157.8295,156.78
2017/10/25,156.41,21175670,156.91,157.55,155.27
2017/10/24,157.1,17633730,156.29,157.42,156.2
2017/10/23,156.17,21888930,156.89,157.69,155.5
2017/10/20,156.25,23907540,156.61,157.75,155.96
2017/10/19,155.98,42357420,156.75,157.08,155.02
2017/10/18,159.76,16252850,160.42,160.71,159.6
2017/10/17,160.47,18969700,159.78,160.87,159.23
2017/10/16,159.88,24093300,157.9,160,157.65
2017/10/13,156.99,16367780,156.73,157.28,156.41
2017/10/12,156,16380570,156.35,157.37,155.7299
2017/10/11,156.55,16861450,155.97,156.98,155.75
2017/10/10,155.9,15603520,156.055,158,155.1
2017/10/09,155.84,16243080,155.81,156.73,155.485
2017/10/06,155.3,17223790,154.97,155.49,154.56
2017/10/05,155.39,21215870,154.18,155.44,154.05
2017/10/04,153.48,20088940,153.63,153.86,152.46
2017/10/03,154.48,16216800,154.01,155.09,153.91
2017/10/02,153.81,18631540,154.26,154.45,152.72
2017/09/29,154.12,26204670,153.21,154.13,152
2017/09/28,153.28,21983410,153.89,154.28,152.7
2017/09/27,154.23,25402270,153.8,154.7189,153.54
2017/09/26,153.14,35907770,151.78,153.92,151.69
2017/09/25,150.55,44366140,149.99,151.83,149.16
2017/09/22,151.89,46575410,152.02,152.27,150.56
2017/09/21,153.39,37350060,155.8,155.8,152.75
2017/09/20,156.07,52126240,157.9,158.26,153.83
2017/09/19,158.73,20565620,159.51,159.77,158.44
2017/09/18,158.67,28157630,160.11,160.5,157.995
2017/09/15,159.88,48846060,158.47,160.97,158
2017/09/14,158.28,23637310,158.99,159.4,158.09
2017/09/13,159.65,44866280,159.87,159.96,157.91
2017/09/12,160.86,71574560,162.61,163.96,158.77
2017/09/11,161.5,31506890,160.5,162.05,159.89
2017/09/08,158.63,28411740,160.86,161.15,158.53
2017/09/07,161.26,21905160,162.09,162.24,160.36
2017/09/06,161.91,21610300,162.71,162.99,160.52
2017/09/05,162.08,29491910,163.75,164.25,160.56
2017/09/01,164.05,16564340,164.8,164.94,163.63
2017/08/31,164,26729940,163.64,164.52,163.48
2017/08/30,163.35,27215770,163.8,163.89,162.61
2017/08/29,162.91,29451050,160.1,163.12,160
2017/08/28,161.47,25649890,160.14,162,159.93
2017/08/25,159.86,25184600,159.65,160.56,159.27
2017/08/24,159.27,19782170,160.43,160.74,158.55
2017/08/23,159.98,19376940,159.07,160.47,158.88
2017/08/22,159.78,21564890,158.23,160,158.02
2017/08/21,157.21,26330070,157.5,157.89,155.1101
2017/08/18,157.5,27391950,157.86,159.5,156.72
2017/08/17,157.86,27377960,160.52,160.71,157.84
2017/08/16,160.95,27607370,161.94,162.51,160.15
2017/08/15,161.6,29377630,160.66,162.195,160.14
2017/08/14,159.85,22074760,159.32,160.21,158.75
2017/08/11,157.48,26208970,156.6,158.5728,156.07
2017/08/10,155.32,39636190,159.9,160,154.63
2017/08/09,161.06,26060430,159.26,161.27,159.11
2017/08/08,160.08,36127490,158.6,161.83,158.27
2017/08/07,158.81,21827400,157.06,158.92,156.6701
2017/08/04,156.39,20514810,156.07,157.4,155.69
2017/08/03,155.57,26604140,157.05,157.21,155.02
2017/08/02,157.14,69726440,159.28,159.75,156.16
2017/08/01,150.05,33669020,149.1,150.22,148.41
2017/07/31,148.73,19690420,149.9,150.33,148.13
2017/07/28,149.5,17192770,149.89,150.23,149.19
2017/07/27,150.56,32429770,153.75,153.99,147.3
2017/07/26,153.46,15649120,153.35,153.93,153.06
2017/07/25,152.74,18798250,151.8,153.84,151.8
2017/07/24,152.09,21466370,150.58,152.44,149.9
2017/07/21,150.27,25111310,149.99,150.44,148.88
2017/07/20,150.34,17170490,151.5,151.74,150.19
2017/07/19,151.02,20859830,150.48,151.42,149.95
2017/07/18,150.08,17837130,149.2,150.13,148.67
2017/07/17,149.56,23765710,148.82,150.9,148.57
2017/07/14,149.04,20117070,147.97,149.33,147.33
2017/07/13,147.77,25080500,145.5,148.49,145.44
2017/07/12,145.74,24833800,145.87,146.18,144.82
2017/07/11,145.53,18647220,144.73,145.85,144.38
2017/07/10,145.06,21080580,144.11,145.95,143.37
2017/07/07,144.18,18527000,142.9,144.75,142.9
2017/07/06,142.73,24110330,143.02,143.5,142.41
2017/07/05,144.09,21550270,143.69,144.79,142.7237
2017/07/03,143.5,14277850,144.88,145.3001,143.1
2017/06/30,144.02,22986960,144.45,144.96,143.78
2017/06/29,143.68,31450520,144.71,145.13,142.28
2017/06/28,145.83,22052920,144.49,146.11,143.1601
2017/06/27,143.73,24725210,145.01,146.16,143.62
2017/06/26,145.82,25674500,147.17,148.28,145.38
2017/06/23,146.28,35421310,145.13,147.16,145.11
2017/06/22,145.63,19082170,145.77,146.7,145.1199
2017/06/21,145.87,21247590,145.52,146.0693,144.61
2017/06/20,145.01,24877950,146.87,146.87,144.94
2017/06/19,146.34,32203640,143.66,146.74,143.66
2017/06/16,142.27,50264540,143.78,144.5,142.2
2017/06/15,144.29,31642900,143.32,144.4798,142.21
2017/06/14,145.16,31454590,147.5,147.5,143.84
2017/06/13,146.59,34089190,147.16,147.45,145.15
2017/06/12,145.42,72187710,145.74,146.09,142.51
2017/06/09,148.98,64782910,155.19,155.19,146.02
2017/06/08,154.99,21144040,155.25,155.54,154.4
2017/06/07,155.37,21017560,155.02,155.98,154.48
2017/06/06,154.45,26591850,153.9,155.81,153.78
2017/06/05,153.93,25277680,154.34,154.45,153.46
2017/06/02,155.45,27715140,153.58,155.45,152.89
2017/06/01,153.18,16383610,153.17,153.33,152.22
